DEVICE(0),SERIES_NO(1),LANE(2),SMALL_VOL(3),BIG_VOL(4),CONNECT_VOL(5),SMALL_SPEED(6),BIG_SPEED(7),CONNECT_SPEED(8),OCCUPANCY(9),level(10)
VD01,9,1,25,9,6,10,10,10,89,1
VD02,9,1,22,8,5,91,91,91,5,1
VD01,9,2,25,9,6,10,10,10,89,1
VD02,9,2,22,8,5,91,91,91,5,1
VD01,9,3,25,9,6,10,10,10,89,1
VD02,9,3,22,8,5,91,91,91,5,1
VD01,10,1,25,9,6,10,10,10,89,1
VD02,10,1,22,8,5,91,91,91,5,1
VD01,10,2,25,9,6,10,10,10,89,1
VD02,10,2,22,8,5,91,91,91,5,1
VD01,10,3,25,9,6,10,10,10,89,1
VD02,10,3,22,8,5,91,91,91,5,1
VD01,11,1,25,9,6,10,10,10,89,1
VD02,11,1,22,8,5,91,91,91,5,1
VD01,11,2,25,9,6,10,10,10,89,1
VD02,11,2,22,8,5,91,91,91,5,1
VD01,11,3,25,9,6,10,10,10,89,1
VD02,11,3,22,8,5,91,91,91,5,1
VD01,12,1,22,8,5,60,60,60,32,0
VD02,12,1,22,8,5,60,60,60,32,0
VD01,12,2,22,8,5,60,60,60,32,0
VD02,12,2,22,8,5,60,60,60,32,0
VD01,12,3,22,8,5,60,60,60,32,0
VD02,12,3,22,8,5,60,60,60,32,0
VD01,13,1,22,8,5,60,60,60,32,0
VD02,13,1,22,8,5,60,60,60,32,0
VD01,13,2,22,8,5,60,60,60,32,0
VD02,13,2,22,8,5,60,60,60,32,0
VD01,13,3,22,8,5,60,60,60,32,0
VD02,13,3,22,8,5,60,60,60,32,0
VD01,14,1,22,8,5,60,60,60,32,0
VD02,14,1,22,8,5,60,60,60,32,0
VD01,14,2,22,8,5,60,60,60,32,0
VD02,14,2,22,8,5,60,60,60,32,0
VD01,14,3,22,8,5,60,60,60,32,0
VD02,14,3,22,8,5,60,60,60,32,0
VD01,15,1,22,8,5,60,60,60,32,0
VD02,15,1,22,8,5,60,60,60,32,0
VD01,15,2,22,8,5,60,60,60,32,0
VD02,15,2,22,8,5,60,60,60,32,0
VD01,15,3,22,8,5,60,60,60,32,0
VD02,15,3,22,8,5,60,60,60,32,0
VD01,1,1,20,9,6,60,60,60,32,0
VD02,1,1,20,9,6,60,60,60,32,0
VD01,1,2,20,9,6,60,60,60,32,0
VD02,1,2,20,9,6,60,60,60,32,0
VD01,1,3,20,9,6,60,60,60,32,0
VD02,1,3,20,9,6,60,60,60,32,0
VD01,2,1,20,9,6,60,60,60,32,0
VD02,2,1,20,9,6,60,60,60,32,0
VD01,2,2,20,9,6,60,60,60,32,0
VD02,2,2,20,9,6,60,60,60,32,0
VD01,2,3,20,9,6,60,60,60,32,0
VD02,2,3,20,9,6,60,60,60,32,0
VD01,3,1,20,9,6,60,60,60,32,0
VD02,3,1,20,9,6,60,60,60,32,0
VD01,3,2,20,9,6,60,60,60,32,0
VD02,3,2,20,9,6,60,60,60,32,0
VD01,3,3,20,9,6,60,60,60,32,0
VD02,3,3,20,9,6,60,60,60,32,0
VD01,4,1,20,9,6,60,60,60,32,0
VD02,4,1,20,9,6,60,60,60,32,0
VD01,4,2,20,9,6,60,60,60,32,0
VD02,4,2,20,9,6,60,60,60,32,0
VD01,4,3,20,9,6,60,60,60,32,0
VD02,4,3,20,9,6,60,60,60,32,0
VD01,5,1,55,20,15,10,10,10,89,1
VD02,5,1,20,9,6,91,91,91,8,1
VD01,5,2,55,20,15,10,10,10,89,1
VD02,5,2,20,9,6,91,91,91,8,1
VD01,5,3,55,20,15,10,10,10,89,1
VD02,5,3,20,9,6,91,91,91,8,1
VD01,6,1,22,12,6,10,10,10,89,1
VD02,6,1,20,9,6,91,91,91,8,1
VD01,6,2,22,12,6,10,10,10,89,1
VD02,6,2,20,9,6,91,91,91,8,1
VD01,6,3,22,12,6,10,10,10,89,1
VD02,6,3,20,9,6,91,91,91,8,1
VD01,7,1,22,12,6,10,10,10,89,1
VD02,7,1,20,9,6,91,91,91,8,1
VD01,7,2,22,12,6,10,10,10,89,1
VD02,7,2,20,9,6,91,91,91,8,1
VD01,7,3,22,12,6,10,10,10,89,1
VD02,7,3,20,9,6,91,91,91,8,1
VD01,8,1,22,12,6,10,10,10,89,1
VD02,8,1,20,9,6,91,91,91,8,1
VD01,8,2,22,12,6,10,10,10,89,1
VD02,8,2,20,9,6,91,91,91,8,1
VD01,8,3,22,12,6,10,10,10,89,1
VD02,8,3,20,9,6,91,91,91,8,1
VD01,9,1,22,12,6,10,10,10,89,1
VD02,9,1,20,9,6,91,91,91,8,1
VD01,9,2,22,12,6,10,10,10,89,1
VD02,9,2,20,9,6,91,91,91,8,1
VD01,9,3,22,12,6,10,10,10,89,1
VD02,9,3,20,9,6,91,91,91,8,1
VD01,10,1,22,12,6,10,10,10,89,1
VD02,10,1,20,9,6,91,91,91,8,1
VD01,10,2,22,12,6,10,10,10,89,1
VD02,10,2,20,9,6,91,91,91,8,1
VD01,10,3,22,12,6,10,10,10,89,1
VD02,10,3,20,9,6,91,91,91,8,1
VD01,11,1,20,9,6,60,60,60,32,0
VD02,11,1,20,9,6,60,60,60,32,0
VD01,11,2,20,9,6,60,60,60,32,0
VD02,11,2,20,9,6,60,60,60,32,0
VD01,11,3,20,9,6,60,60,60,32,0
VD02,11,3,20,9,6,60,60,60,32,0
VD01,12,1,20,9,6,60,60,60,32,0
VD02,12,1,20,9,6,60,60,60,32,0
VD01,12,2,20,9,6,60,60,60,32,0
VD02,12,2,20,9,6,60,60,60,32,0
VD01,12,3,20,9,6,60,60,60,32,0
VD02,12,3,20,9,6,60,60,60,32,0
VD01,13,1,20,9,6,60,60,60,32,0
VD02,13,1,20,9,6,60,60,60,32,0
VD01,13,2,20,9,6,60,60,60,32,0
VD02,13,2,20,9,6,60,60,60,32,0
VD01,13,3,20,9,6,60,60,60,32,0
VD02,13,3,20,9,6,60,60,60,32,0
VD01,14,1,20,9,6,60,60,60,32,0
VD02,14,1,20,9,6,60,60,60,32,0
VD01,14,2,20,9,6,60,60,60,32,0
VD02,14,2,20,9,6,60,60,60,32,0
VD01,14,3,20,9,6,60,60,60,32,0
VD02,14,3,20,9,6,60,60,60,32,0
VD01,15,1,20,9,6,60,60,60,32,0
VD02,15,1,20,9,6,60,60,60,32,0
VD01,15,2,20,9,6,60,60,60,32,0
VD02,15,2,20,9,6,60,60,60,32,0
VD01,15,3,20,9,6,60,60,60,32,0
VD02,15,3,20,9,6,60,60,60,32,0
VD01,1,1,23,5,7,60,60,60,32,0
VD02,1,1,23,5,7,60,60,60,32,0
VD01,1,2,23,5,7,60,60,60,32,0
VD02,1,2,23,5,7,60,60,60,32,0
VD01,1,3,23,5,7,60,60,60,32,0
VD02,1,3,23,5,7,60,60,60,32,0
VD01,2,1,23,5,7,60,60,60,32,0
VD02,2,1,23,5,7,60,60,60,32,0
VD01,2,2,23,5,7,60,60,60,32,0
VD02,2,2,23,5,7,60,60,60,32,0
VD01,2,3,23,5,7,60,60,60,32,0
VD02,2,3,23,5,7,60,60,60,32,0
VD01,3,1,23,5,7,60,60,60,32,0
VD02,3,1,23,5,7,60,60,60,32,0
VD01,3,2,23,5,7,60,60,60,32,0
VD02,3,2,23,5,7,60,60,60,32,0
VD01,3,3,23,5,7,60,60,60,32,0
VD02,3,3,23,5,7,60,60,60,32,0
VD01,4,1,23,5,7,60,60,60,32,0
VD02,4,1,23,5,7,60,60,60,32,0
VD01,4,2,23,5,7,60,60,60,32,0
VD02,4,2,23,5,7,60,60,60,32,0
VD01,4,3,23,5,7,60,60,60,32,0
VD02,4,3,23,5,7,60,60,60,32,0
VD01,5,1,24,9,7,10,10,10,60,1
VD02,5,1,23,5,7,91,91,91,8,1
VD01,5,2,24,9,7,10,10,10,60,1
VD02,5,2,23,5,7,91,91,91,8,1
VD01,5,3,24,9,7,10,10,10,60,1
VD02,5,3,23,5,7,91,91,91,8,1
VD01,6,1,24,9,7,10,10,10,60,1
VD02,6,1,23,5,7,91,91,91,8,1
VD01,6,2,24,9,7,10,10,10,60,1
VD02,6,2,23,5,7,91,91,91,8,1
VD01,6,3,24,9,7,10,10,10,60,1
VD02,6,3,23,5,7,91,91,91,8,1
VD01,7,1,24,9,7,10,10,10,60,1
VD02,7,1,23,5,7,91,91,91,8,1
VD01,7,2,24,9,7,10,10,10,60,1
VD02,7,2,23,5,7,91,91,91,8,1
VD01,7,3,24,9,7,10,10,10,60,1
VD02,7,3,23,5,7,91,91,91,8,1
VD01,8,1,24,9,7,10,10,10,60,1
VD02,8,1,23,5,7,91,91,91,8,1
VD01,8,2,24,9,7,10,10,10,60,1
VD02,8,2,23,5,7,91,91,91,8,1
VD01,8,3,24,9,7,10,10,10,60,1
VD02,8,3,23,5,7,91,91,91,8,1
VD01,9,1,24,9,7,10,10,10,60,1
VD02,9,1,23,5,7,91,91,91,8,1
VD01,9,2,24,9,7,10,10,10,60,1
VD02,9,2,23,5,7,91,91,91,8,1
VD01,9,3,24,9,7,10,10,10,60,1
VD02,9,3,23,5,7,91,91,91,8,1
VD01,10,1,56,22,12,10,10,10,60,1
VD02,10,1,23,5,7,91,91,91,8,1
VD01,10,2,56,22,12,10,10,10,60,1
VD02,10,2,23,5,7,91,91,91,8,1
VD01,10,3,56,22,12,10,10,10,60,1
VD02,10,3,23,5,7,91,91,91,8,1
VD01,11,1,24,9,7,10,10,10,60,1
VD02,11,1,23,5,7,91,91,91,8,1
VD01,11,2,24,9,7,10,10,10,60,1
VD02,11,2,23,5,7,91,91,91,8,1
VD01,11,3,24,9,7,10,10,10,60,1
VD02,11,3,23,5,7,91,91,91,8,1
VD01,12,1,24,9,7,10,10,10,60,1
VD02,12,1,23,5,7,91,91,91,8,1
VD01,12,2,24,9,7,10,10,10,60,1
VD02,12,2,23,5,7,91,91,91,8,1
VD01,12,3,24,9,7,10,10,10,60,1
VD02,12,3,23,5,7,91,91,91,8,1
VD01,13,1,24,9,7,10,10,10,60,1
VD02,13,1,23,5,7,91,91,91,8,1
VD01,13,2,24,9,7,10,10,10,60,1
VD02,13,2,23,5,7,91,91,91,8,1
VD01,13,3,24,9,7,10,10,10,60,1
VD02,13,3,23,5,7,91,91,91,8,1
VD01,14,1,23,5,7,60,60,60,32,0
VD02,14,1,23,5,7,60,60,60,32,0
VD01,14,2,23,5,7,60,60,60,32,0
VD02,14,2,23,5,7,60,60,60,32,0
VD01,14,3,23,5,7,60,60,60,32,0
VD02,14,3,23,5,7,60,60,60,32,0
VD01,15,1,23,5,7,60,60,60,32,0
VD02,15,1,23,5,7,60,60,60,32,0
VD01,15,2,23,5,7,60,60,60,32,0
VD02,15,2,23,5,7,60,60,60,32,0
VD01,15,3,23,5,7,60,60,60,32,0
VD02,15,3,23,5,7,60,60,60,32,0
VD01,1,1,21,8,6,60,60,60,32,0
VD02,1,1,21,8,6,60,60,60,32,0
VD01,1,2,21,8,6,60,60,60,32,0
VD02,1,2,21,8,6,60,60,60,32,0
VD01,1,3,21,8,6,60,60,60,32,0
VD02,1,3,21,8,6,60,60,60,32,0
VD01,2,1,21,8,6,60,60,60,32,0
VD02,2,1,21,8,6,60,60,60,32,0
VD01,2,2,21,8,6,60,60,60,32,0
VD02,2,2,21,8,6,60,60,60,32,0
VD01,2,3,21,8,6,60,60,60,32,0
VD02,2,3,21,8,6,60,60,60,32,0
VD01,3,1,21,8,6,60,60,60,32,0
VD02,3,1,21,8,6,60,60,60,32,0
VD01,3,2,21,8,6,60,60,60,32,0
VD02,3,2,21,8,6,60,60,60,32,0
VD01,3,3,21,8,6,60,60,60,32,0
VD02,3,3,21,8,6,60,60,60,32,0
VD01,4,1,21,8,6,60,60,60,32,0
VD02,4,1,21,8,6,60,60,60,32,0
VD01,4,2,21,8,6,60,60,60,32,0
VD02,4,2,21,8,6,60,60,60,32,0
VD01,4,3,21,8,6,60,60,60,32,0
VD02,4,3,21,8,6,60,60,60,32,0
VD01,5,1,24,9,7,10,10,10,60,1
VD02,5,1,21,8,6,91,91,91,10,1
VD01,5,2,24,9,7,10,10,10,60,1
VD02,5,2,21,8,6,91,91,91,10,1
VD01,5,3,24,9,7,10,10,10,60,1
VD02,5,3,21,8,6,91,91,91,10,1
VD01,6,1,24,9,7,10,10,10,60,1
VD02,6,1,21,8,6,91,91,91,10,1
VD01,6,2,24,9,7,10,10,10,60,1
VD02,6,2,21,8,6,91,91,91,10,1
VD01,6,3,24,9,7,10,10,10,60,1
VD02,6,3,21,8,6,91,91,91,10,1
VD01,7,1,24,9,7,10,10,10,60,1
VD02,7,1,21,8,6,91,91,91,10,1
VD01,7,2,24,9,7,10,10,10,60,1
VD02,7,2,21,8,6,91,91,91,10,1
VD01,7,3,24,9,7,10,10,10,60,1
VD02,7,3,21,8,6,91,91,91,10,1
VD01,8,1,24,9,7,10,10,10,60,1
VD02,8,1,21,8,6,91,91,91,10,1
VD01,8,2,24,9,7,10,10,10,60,1
VD02,8,2,21,8,6,91,91,91,10,1
VD01,8,3,24,9,7,10,10,10,60,1
VD02,8,3,21,8,6,91,91,91,10,1
VD01,9,1,52,28,10,10,10,10,60,1
VD02,9,1,21,8,6,91,91,91,10,1
VD01,9,2,52,28,10,10,10,10,60,1
VD02,9,2,21,8,6,91,91,91,10,1
VD01,9,3,52,28,10,10,10,10,60,1
VD02,9,3,21,8,6,91,91,91,10,1
VD01,10,1,24,9,7,10,10,10,60,1
VD02,10,1,21,8,6,91,91,91,10,1
VD01,10,2,24,9,7,10,10,10,60,1
VD02,10,2,21,8,6,91,91,91,10,1
VD01,10,3,24,9,7,10,10,10,60,1
VD02,10,3,21,8,6,91,91,91,10,1
VD01,11,1,24,9,7,10,10,10,60,1
VD02,11,1,21,8,6,91,91,91,10,1
VD01,11,2,24,9,7,10,10,10,60,1
VD02,11,2,21,8,6,91,91,91,10,1
VD01,11,3,24,9,7,10,10,10,60,1
VD02,11,3,21,8,6,91,91,91,10,1
VD01,12,1,21,8,6,60,60,60,32,0
VD02,12,1,21,8,6,60,60,60,32,0
VD01,12,2,21,8,6,60,60,60,32,0
VD02,12,2,21,8,6,60,60,60,32,0
VD01,12,3,21,8,6,60,60,60,32,0
VD02,12,3,21,8,6,60,60,60,32,0
VD01,13,1,21,8,6,60,60,60,32,0
VD02,13,1,21,8,6,60,60,60,32,0
VD01,13,2,21,8,6,60,60,60,32,0
VD02,13,2,21,8,6,60,60,60,32,0
VD01,13,3,21,8,6,60,60,60,32,0
VD02,13,3,21,8,6,60,60,60,32,0
VD01,14,1,21,8,6,60,60,60,32,0
VD02,14,1,21,8,6,60,60,60,32,0
VD01,14,2,21,8,6,60,60,60,32,0
VD02,14,2,21,8,6,60,60,60,32,0
VD01,14,3,21,8,6,60,60,60,32,0
VD02,14,3,21,8,6,60,60,60,32,0
VD01,15,1,21,8,6,60,60,60,32,0
VD02,15,1,21,8,6,60,60,60,32,0
VD01,15,2,21,8,6,60,60,60,32,0
VD02,15,2,21,8,6,60,60,60,32,0
VD01,15,3,21,8,6,60,60,60,32,0
VD02,15,3,21,8,6,60,60,60,32,0
VD01,1,1,22,8,5,60,60,60,32,0
VD02,1,1,22,8,5,60,60,60,32,0
VD01,1,2,22,8,5,60,60,60,32,0
VD02,1,2,22,8,5,60,60,60,32,0
VD01,1,3,22,8,5,60,60,60,32,0
VD02,1,3,22,8,5,60,60,60,32,0
VD01,2,1,22,8,5,60,60,60,32,0
VD02,2,1,22,8,5,60,60,60,32,0
VD01,2,2,22,8,5,60,60,60,32,0
VD02,2,2,22,8,5,60,60,60,32,0
VD01,2,3,22,8,5,60,60,60,32,0
VD02,2,3,22,8,5,60,60,60,32,0
VD01,3,1,22,8,5,60,60,60,32,0
VD02,3,1,22,8,5,60,60,60,32,0
VD01,3,2,22,8,5,60,60,60,32,0
VD02,3,2,22,8,5,60,60,60,32,0
VD01,3,3,22,8,5,60,60,60,32,0
VD02,3,3,22,8,5,60,60,60,32,0
VD01,4,1,22,8,5,60,60,60,32,0
VD02,4,1,22,8,5,60,60,60,32,0
VD01,4,2,22,8,5,60,60,60,32,0
VD02,4,2,22,8,5,60,60,60,32,0
VD01,4,3,22,8,5,60,60,60,32,0
VD02,4,3,22,8,5,60,60,60,32,0
VD01,5,1,28,6,6,10,10,10,50,1
VD02,5,1,22,8,5,91,91,91,12,1
VD01,5,2,28,6,6,10,10,10,50,1
VD02,5,2,22,8,5,91,91,91,12,1
VD01,5,3,28,6,6,10,10,10,50,1
VD02,5,3,22,8,5,91,91,91,12,1
VD01,6,1,28,6,6,10,10,10,50,1
VD02,6,1,22,8,5,91,91,91,12,1
VD01,6,2,28,6,6,10,10,10,50,1
VD02,6,2,22,8,5,91,91,91,12,1
VD01,6,3,28,6,6,10,10,10,50,1
VD02,6,3,22,8,5,91,91,91,12,1
VD01,7,1,28,6,6,10,10,10,50,1
VD02,7,1,22,8,5,91,91,91,12,1
VD01,7,2,28,6,6,10,10,10,50,1
VD02,7,2,22,8,5,91,91,91,12,1
VD01,7,3,28,6,6,10,10,10,50,1
VD02,7,3,22,8,5,91,91,91,12,1
VD01,8,1,28,6,6,10,10,10,50,1
VD02,8,1,22,8,5,91,91,91,12,1
VD01,8,2,28,6,6,10,10,10,50,1
VD02,8,2,22,8,5,91,91,91,12,1
VD01,8,3,28,6,6,10,10,10,50,1
VD02,8,3,22,8,5,91,91,91,12,1
VD01,9,1,28,6,6,10,10,10,50,1
VD02,9,1,22,8,5,91,91,91,12,1
VD01,9,2,28,6,6,10,10,10,50,1
VD02,9,2,22,8,5,91,91,91,12,1
VD01,9,3,28,6,6,10,10,10,50,1
VD02,9,3,22,8,5,91,91,91,12,1
VD01,10,1,28,6,6,10,10,10,50,1
VD02,10,1,22,8,5,91,91,91,12,1
VD01,10,2,28,6,6,10,10,10,50,1
VD02,10,2,22,8,5,91,91,91,12,1
VD01,10,3,28,6,6,10,10,10,50,1
VD02,10,3,22,8,5,91,91,91,12,1
VD01,11,1,28,6,6,10,10,10,50,1
VD02,11,1,22,8,5,91,91,91,12,1
VD01,11,2,28,6,6,10,10,10,50,1
VD02,11,2,22,8,5,91,91,91,12,1
VD01,11,3,28,6,6,10,10,10,50,1
VD02,11,3,22,8,5,91,91,91,12,1
VD01,12,1,28,6,6,10,10,10,50,1
VD02,12,1,22,8,5,91,91,91,12,1
VD01,12,2,28,6,6,10,10,10,50,1
VD02,12,2,22,8,5,91,91,91,12,1
VD01,12,3,28,6,6,10,10,10,50,1
VD02,12,3,22,8,5,91,91,91,12,1
VD01,13,1,22,8,5,60,60,60,32,0
VD02,13,1,22,8,5,60,60,60,32,0
VD01,13,2,22,8,5,60,60,60,32,0
VD02,13,2,22,8,5,60,60,60,32,0
VD01,13,3,22,8,5,60,60,60,32,0
VD02,13,3,22,8,5,60,60,60,32,0
VD01,14,1,22,8,5,60,60,60,32,0
VD02,14,1,22,8,5,60,60,60,32,0
VD01,14,2,22,8,5,60,60,60,32,0
VD02,14,2,22,8,5,60,60,60,32,0
VD01,14,3,22,8,5,60,60,60,32,0
VD02,14,3,22,8,5,60,60,60,32,0
VD01,15,1,22,8,5,60,60,60,32,0
VD02,15,1,22,8,5,60,60,60,32,0
VD01,15,2,22,8,5,60,60,60,32,0
VD02,15,2,22,8,5,60,60,60,32,0
VD01,15,3,22,8,5,60,60,60,32,0
VD02,15,3,22,8,5,60,60,60,32,0
VD01,1,1,18,12,5,60,60,60,32,0
VD02,1,1,18,12,5,60,60,60,32,0
VD01,1,2,18,12,5,60,60,60,32,0
VD02,1,2,18,12,5,60,60,60,32,0
VD01,1,3,18,12,5,60,60,60,32,0
VD02,1,3,18,12,5,60,60,60,32,0
VD01,2,1,18,12,5,60,60,60,32,0
VD02,2,1,18,12,5,60,60,60,32,0
VD01,2,2,18,12,5,60,60,60,32,0
VD02,2,2,18,12,5,60,60,60,32,0
VD01,2,3,18,12,5,60,60,60,32,0
VD02,2,3,18,12,5,60,60,60,32,0
VD01,3,1,18,12,5,60,60,60,32,0
VD02,3,1,18,12,5,60,60,60,32,0
VD01,3,2,18,12,5,60,60,60,32,0
VD02,3,2,18,12,5,60,60,60,32,0
VD01,3,3,18,12,5,60,60,60,32,0
VD02,3,3,18,12,5,60,60,60,32,0
VD01,4,1,18,12,5,60,60,60,32,0
VD02,4,1,18,12,5,60,60,60,32,0
VD01,4,2,18,12,5,60,60,60,32,0
VD02,4,2,18,12,5,60,60,60,32,0
VD01,4,3,18,12,5,60,60,60,32,0
VD02,4,3,18,12,5,60,60,60,32,0
VD01,5,1,25,8,7,10,10,10,50,1
VD02,5,1,18,12,5,91,91,91,12,1
VD01,5,2,25,8,7,10,10,10,50,1
VD02,5,2,18,12,5,91,91,91,12,1
VD01,5,3,25,8,7,10,10,10,50,1
VD02,5,3,18,12,5,91,91,91,12,1
VD01,6,1,25,8,7,10,10,10,50,1
VD02,6,1,18,12,5,91,91,91,12,1
VD01,6,2,25,8,7,10,10,10,50,1
VD02,6,2,18,12,5,91,91,91,12,1
VD01,6,3,25,8,7,10,10,10,50,1
VD02,6,3,18,12,5,91,91,91,12,1
VD01,7,1,25,8,7,10,10,10,50,1
VD02,7,1,18,12,5,91,91,91,12,1
VD01,7,2,25,8,7,10,10,10,50,1
VD02,7,2,18,12,5,91,91,91,12,1
VD01,7,3,25,8,7,10,10,10,50,1
VD02,7,3,18,12,5,91,91,91,12,1
VD01,8,1,25,8,7,10,10,10,50,1
VD02,8,1,18,12,5,91,91,91,12,1
VD01,8,2,25,8,7,10,10,10,50,1
VD02,8,2,18,12,5,91,91,91,12,1
VD01,8,3,25,8,7,10,10,10,50,1
VD02,8,3,18,12,5,91,91,91,12,1
VD01,9,1,25,8,7,10,10,10,50,1
VD02,9,1,18,12,5,91,91,91,12,1
VD01,9,2,25,8,7,10,10,10,50,1
VD02,9,2,18,12,5,91,91,91,12,1
VD01,9,3,25,8,7,10,10,10,50,1
VD02,9,3,18,12,5,91,91,91,12,1
VD01,10,1,45,28,17,10,10,10,50,1
VD02,10,1,18,12,5,91,91,91,12,1
VD01,10,2,45,28,17,10,10,10,50,1
VD02,10,2,18,12,5,91,91,91,12,1
VD01,10,3,45,28,17,10,10,10,50,1
VD02,10,3,18,12,5,91,91,91,12,1
VD01,11,1,25,8,7,10,10,10,50,1
VD02,11,1,18,12,5,91,91,91,12,1
VD01,11,2,25,8,7,10,10,10,50,1
VD02,11,2,18,12,5,91,91,91,12,1
VD01,11,3,25,8,7,10,10,10,50,1
VD02,11,3,18,12,5,91,91,91,12,1
VD01,12,1,25,8,7,10,10,10,50,1
VD02,12,1,18,12,5,91,91,91,12,1
VD01,12,2,25,8,7,10,10,10,50,1
VD02,12,2,18,12,5,91,91,91,12,1
VD01,12,3,25,8,7,10,10,10,50,1
VD02,12,3,18,12,5,91,91,91,12,1
VD01,13,1,18,12,5,60,60,60,32,0
VD02,13,1,18,12,5,60,60,60,32,0
VD01,13,2,18,12,5,60,60,60,32,0
VD02,13,2,18,12,5,60,60,60,32,0
VD01,13,3,18,12,5,60,60,60,32,0
VD02,13,3,18,12,5,60,60,60,32,0
VD01,14,1,18,12,5,60,60,60,32,0
VD02,14,1,18,12,5,60,60,60,32,0
VD01,14,2,18,12,5,60,60,60,32,0
VD02,14,2,18,12,5,60,60,60,32,0
VD01,14,3,18,12,5,60,60,60,32,0
VD02,14,3,18,12,5,60,60,60,32,0
VD01,15,1,18,12,5,60,60,60,32,0
VD02,15,1,18,12,5,60,60,60,32,0
VD01,15,2,18,12,5,60,60,60,32,0
VD02,15,2,18,12,5,60,60,60,32,0
VD01,15,3,18,12,5,60,60,60,32,0
VD02,15,3,18,12,5,60,60,60,32,0
VD01,1,1,25,5,5,60,60,60,32,0
VD02,1,1,25,5,5,60,60,60,32,0
VD01,1,2,25,5,5,60,60,60,32,0
VD02,1,2,25,5,5,60,60,60,32,0
VD01,1,3,25,5,5,60,60,60,32,0
VD02,1,3,25,5,5,60,60,60,32,0
VD01,2,1,25,5,5,60,60,60,32,0
VD02,2,1,25,5,5,60,60,60,32,0
VD01,2,2,25,5,5,60,60,60,32,0
VD02,2,2,25,5,5,60,60,60,32,0
VD01,2,3,25,5,5,60,60,60,32,0
VD02,2,3,25,5,5,60,60,60,32,0
VD01,3,1,25,5,5,60,60,60,32,0
VD02,3,1,25,5,5,60,60,60,32,0
VD01,3,2,25,5,5,60,60,60,32,0
VD02,3,2,25,5,5,60,60,60,32,0
VD01,3,3,25,5,5,60,60,60,32,0
VD02,3,3,25,5,5,60,60,60,32,0
VD01,4,1,25,5,5,60,60,60,32,0
VD02,4,1,25,5,5,60,60,60,32,0
VD01,4,2,25,5,5,60,60,60,32,0
VD02,4,2,25,5,5,60,60,60,32,0
VD01,4,3,25,5,5,60,60,60,32,0
VD02,4,3,25,5,5,60,60,60,32,0
VD01,5,1,30,6,4,10,10,10,40,1
VD02,5,1,25,5,5,91,91,91,12,1
VD01,5,2,30,6,4,10,10,10,40,1
VD02,5,2,25,5,5,91,91,91,12,1
VD01,5,3,30,6,4,10,10,10,40,1
VD02,5,3,25,5,5,91,91,91,12,1
VD01,6,1,30,6,4,10,10,10,40,1
VD02,6,1,25,5,5,91,91,91,12,1
VD01,6,2,30,6,4,10,10,10,40,1
VD02,6,2,25,5,5,91,91,91,12,1
